%Time	Paddle Displacement	LC1	LC2	WG0	WG1	WG2	WG3
31/08/2023 14.27.37.02838	0.772477	0	0	-302.741	0	0	0
31/08/2023 14.27.37.07838	0.77262	-0.743652	-0.117752	-302.687	-0.0788422	-0.153152	0.328064
31/08/2023 14.27.37.13012	0.772711	-0.578369	-0.104065	-302.487	-0.296402	-0.412003	0.365448
31/08/2023 14.27.37.18012	0.772768	0.0125427	0.0627747	-302.237	0.00617981	-0.29007	0.16539
31/08/2023 14.27.37.23012	0.772508	-0.587769	-0.10173	-302.558	0.172516	-0.183685	-0.0410156
31/08/2023 14.27.37.28012	0.772554	-0.952454	-0.222336	-303.017	-0.0461731	-0.0189667	0.0258789
31/08/2023 14.27.37.33012	0.77267	-0.887207	-0.206329	-302.759	-0.366135	-0.0374298	0.190674
31/08/2023 14.27.37.38012	0.772726	-0.596558	-0.165695	-302.482	-0.102631	-0.40152	0.39592
31/08/2023 14.27.37.43037	0.772721	-0.96228	-0.307419	-302.269	0.00112915	-0.326096	0.289825
31/08/2023 14.27.37.48037	0.772431	-1.40781	-0.43782	-302.422	0.135193	-0.0128326	-0.0730438
31/08/2023 14.27.37.53037	0.772651	-1.02148	-0.300476	-302.791	-0.0424957	-0.0489807	-0.241974
31/08/2023 14.27.37.58037	0.772709	-0.332672	-0.0606537	-302.696	-0.248154	-0.214081	0.233124
31/08/2023 14.27.37.63112	0.772733	0.298187	0.22966	-302.453	-0.190521	-0.308075	0.237656
31/08/2023 14.27.37.68112	0.772614	1.07983	0.459671	-302.099	-0.00474548	-0.298981	0.374268
31/08/2023 14.27.37.73112	0.772464	0.813324	0.55191	-302.513	0.0807495	-0.248947	0.146713
31/08/2023 14.27.37.78112	0.772654	1.25583	0.651367	-303.115	0.0177917	-0.140457	0.0657043
31/08/2023 14.27.37.83262	0.772739	0.909821	0.514648	-303.001	-0.33757	-0.0137329	0.183029
31/08/2023 14.27.37.88262	0.772701	1.66391	0.818283	-302.683	-0.215851	-0.328766	0.450272
31/08/2023 14.27.37.93262	0.772538	1.40482	0.578491	-302.551	-0.0388489	-0.398758	0.116638
31/08/2023 14.27.37.98262	0.772542	1.67087	0.648163	-302.458	0.170593	-0.172302	-0.0811005
31/08/2023 14.27.38.03262	0.772679	0.238922	0.245819	-303.23	0.0505829	0.00328064	-0.0953674
31/08/2023 14.27.38.08262	0.77274	-0.19931	0.145569	-302.794	-0.159546	-0.212845	0.196487
31/08/2023 14.27.38.13387	0.77269	-0.526459	0.043869	-302.507	-0.217148	-0.330139	0.418732
31/08/2023 14.27.38.18387	0.772434	-0.452026	0.0568848	-302.141	-0.165253	-0.317215	0.0266113
31/08/2023 14.27.38.23387	0.772653	-0.850525	-0.135529	-302.319	0.100342	-0.166733	0.0551147
31/08/2023 14.27.38.28387	0.772657	-1.0882	-0.223572	-303.338	0.009552	-0.0783691	0.0578918
31/08/2023 14.27.38.33387	0.77273	-0.493103	0.0310516	-303.299	-0.334198	-0.147156	0.16391
31/08/2023 14.27.38.38387	0.772677	-1.07623	-0.198013	-302.769	-0.284836	-0.436829	0.373657
31/08/2023 14.27.38.43387	0.772451	-1.70435	-0.403992	-302.422	-0.0265656	-0.435349	0.165466
31/08/2023 14.27.38.48387	0.772679	-0.936737	-0.131836	-302.486	0.123581	-0.181946	-0.116272
31/08/2023 14.27.38.53387	0.772705	-1.08276	-0.223465	-302.98	-0.0920105	0.0653992	-0.0975342
31/08/2023 14.27.38.58387	0.772686	-1.53073	-0.420166	-303.055	-0.119522	-0.163513	0.220154
31/08/2023 14.27.38.63387	0.772564	-1.28198	-0.320358	-302.637	-0.21579	-0.182205	0.386871
31/08/2023 14.27.38.68387	0.772573	-1.47992	-0.422485	-302.377	0.0521698	-0.238831	0.296402
31/08/2023 14.27.38.73387	0.772646	-2.10663	-0.552231	-302.735	0.0147095	-0.177063	0.204926
31/08/2023 14.27.38.78387	0.772746	-0.918396	-0.0558777	-302.805	0.0137482	-0.113342	0.0774384
31/08/2023 14.27.38.83387	0.772676	-0.970734	-0.200134	-303.115	-0.356781	-0.00440979	-0.0112
31/08/2023 14.27.38.88387	0.77247	0.159576	0.296127	-302.786	-0.167007	-0.329727	0.294418
31/08/2023 14.27.38.93387	0.772644	0.458679	0.320526	-302.406	-0.102982	-0.403351	0.119476
31/08/2023 14.27.38.98387	0.772689	-0.021637	0.161102	-302.346	0.170807	-0.176651	-0.25444
31/08/2023 14.27.39.03387	0.772722	0.0306702	0.2556	-302.66	-0.0132141	0.0198059	-0.00256348
31/08/2023 14.27.39.08387	0.772684	0.700043	0.51857	-302.697	-0.0444489	-0.285461	0.210266
31/08/2023 14.27.39.13387	0.772421	1.25189	0.773956	-303.018	-0.258041	-0.17038	0.260559
31/08/2023 14.27.39.18387	0.772659	1.55103	0.683884	-302.643	-0.137756	-0.304657	0.359726
31/08/2023 14.27.39.23387	0.772671	0.526825	0.306183	-302.452	0.0427704	-0.226501	0.132889
31/08/2023 14.27.39.28387	0.772752	0.578064	0.428055	-302.806	0.04776	-0.183411	0.0416718
31/08/2023 14.27.39.33487	0.772599	0.270203	0.298859	-303.073	-0.25499	-0.00213623	0.0939941
31/08/2023 14.27.39.38487	0.772499	-0.484314	-0.081131	-302.486	-0.292145	-0.328903	0.28447
31/08/2023 14.27.39.43487	0.77269	-1.03757	-0.165421	-302.591	-0.235626	-0.475311	0.174057
31/08/2023 14.27.39.48487	0.772728	-0.324738	0.0991364	-302.454	0.112411	-0.192596	-0.158691
31/08/2023 14.27.39.53487	0.772702	-0.547607	-0.00198364	-302.802	0.120407	-0.00683594	-0.219299
31/08/2023 14.27.39.58487	0.772447	-0.497833	0.0856628	-302.95	-0.0260773	-0.0820618	0.194489
31/08/2023 14.27.39.63487	0.77263	-0.971985	-0.00492859	-302.737	-0.310059	-0.284073	0.261032
31/08/2023 14.27.39.68487	0.772658	-0.954681	-0.0809784	-302.477	-0.156937	-0.36879	0.300766
31/08/2023 14.27.39.73487	0.772761	-0.926941	-0.0708618	-302.391	0.13916	-0.267532	0.0800934
31/08/2023 14.27.39.78487	0.77268	-1.21436	-0.105988	-302.784	0.239197	-0.13298	-0.0450592
31/08/2023 14.27.39.83512	0.772439	-0.51712	-0.0696106	-302.98	-0.222061	0.00189209	-0.0161743
31/08/2023 14.27.39.88512	0.772651	-1.00928	-0.150803	-302.437	-0.265778	-0.39978	0.298096
31/08/2023 14.27.39.93512	0.772677	-1.31396	-0.251053	-302.301	-0.125015	-0.260345	0.267029
